AIDS Report Number,Local Event Date,Event City,Event State,Event Airport,Event Type,Aircraft Damage,Flight Phase,Aircraft Make,Aircraft Model,Aircraft Series,Operator,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Aircraft Registration Nbr,Total Fatalities,Total Injuries,Aircraft Engine Make,Aircraft Engine Model,Engine Group Code,Nbr of Engines,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model, , 
19781210022629I,10-Dec-78,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR111,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781211024779I,11-Dec-78,,,,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,707,321C,,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,448M,0,0,,,,4,AIRLINE TRANSPORT,,0,0,0
19781212024879I,12-Dec-78,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7294,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781213024979I,13-Dec-78,ATLANTA,GA,,INCIDENT,SUBSTANTIAL,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8164G,0,0,PWA,JT8*,JT8,3,AIRLINE TRANSPORT,,0,0,0
19781213024989I,13-Dec-78,DETROIT,MI,METRO FLD,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,UNDESIGNATED SERIES,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,492US,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781213025059I,13-Dec-78,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,707,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7569A,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19781214025159I,14-Dec-78,DENVER,CO,DENVER INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,727,UNDESIGNATED SERIES,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,32724,0,0,,,,3,AIRLINE TRANSPORT,10927,6296,0,0
19781214025169I,14-Dec-78,DAYTON,OH,COX,INCIDENT,,TO ABORTED (FIXED WING),BOEING,737,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9025U,0,3,,,,,AIRLINE TRANSPORT,,0,0,0
19781215025289I,15-Dec-78,NEW ORLEANS,LA,NEW ORLEANS INTL,INCIDENT,,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,513DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781215025309I,15-Dec-78,PITTSBURGH,PA,PITTSBURGH MUNI,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,UNDESIGNATED SERIES,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,753AL,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781215025319I,15-Dec-78,BUFFALO,NY,BUFFALO MUNI,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7403U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781216025399I,16-Dec-78,NEW YORK,NY,JOHN F KENNEDY INTL,INCIDENT,,OTHER GROUND OPERATIONS,BOEING,727,UNDESIGNATED SERIES,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7035U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781216025409I,16-Dec-78,MEMPHIS,TN,MEMPHIS INTL,INCIDENT,,LEVEL OFF TOUCHDOWN,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,464,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781217025579I,17-Dec-78,PITTSBURGH,PA,PITTSBURGH MUNI,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,737,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9018U,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19781218023189I,18-Dec-78,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,200,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7628U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781219023439I,19-Dec-78,FAYETTEVILLE,NC,FAYETTEVILLE MUNI,INCIDENT,MINOR,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,UNDESIGNATED SERIES,PIEDMONT AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,834,0,0,,,,3,AIRLINE TRANSPORT,13997,2985,0,0
19781220021199I,20-Dec-78,LAS VEGAS,NV,MC CARRAN INTL,INCIDENT,,TO ABORTED (FIXED WING),BOEING,727,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR107,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781221021569I,21-Dec-78,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,UNDESIGNATED SERIES,NATIONAL AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4618,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781223021159I,23-Dec-78,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,828,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781225020629I,25-Dec-78,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,727,UNDESIGNATED SERIES,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8133N,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781228020659I,28-Dec-78,PITTSBURGH,PA,PITTSBURG INTL,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,UNDESIGNATED SERIES,ALLEGHENY AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7035U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781229020999I,29-Dec-78,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,200,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8842E,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781230020019I,30-Dec-78,CHICAGO,IL,CHICAGO INTL,INCIDENT,,"GROUND TAXI, OTHER AIRPLANE",BOEING,707,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,585,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19781230020039I,30-Dec-78,NEW ORLEANS,LA,NEW ORLEANS INTL,INCIDENT,,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,418,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19781231019949I,31-Dec-78,NEW YORK,NY,KENNEDY AIRFIELD,INCIDENT,,CLIMB,BOEING,707,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR106,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19781231019959I,31-Dec-78,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4617,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790101000549I,1-Jan-79,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,231,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,54330,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790101000629I,1-Jan-79,FORT WAYNE,IN,FT WAYNE MUNI,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,UNDESIGNATED SERIES,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,490,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790102001079I,2-Jan-79,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,OTHER GROUND OPERATIONS,BOEING,727,UNDESIGNATED SERIES,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,734,0,1,,,,3,AIRLINE TRANSPORT,,0,0,0
19790102001099I,2-Jan-79,KANSAS CITY,MO,KANSAS CITY INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,131,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,93108,0,0,PWA,JT9D7A,JT9,4,AIRLINE TRANSPORT,,0,0,0
19790102001129I,2-Jan-79,DETROIT,MI,METRO FLD,INCIDENT,MINOR,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,860AA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790104002859I,4-Jan-79,CHICAGO,IL,CHICAGO INTL,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,722,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790105000659I,5-Jan-79,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,US AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,753AL,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790105000689I,5-Jan-79,TULSA,OK,TULSA INTL,INCIDENT,,CLIMB,BOEING,727,224,CONTINENTAL AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,88701,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790106001239I,6-Jan-79,WASHINGTON,DC,WASHINGTON INTL,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BOEING,727,200,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,417BN,0,0,,,,3,AIRLINE TRANSPORT,15000,5900,0,0
19790107001019I,7-Jan-79,SAN FRANCISCO,CA,SAN FRANCISCO INTL,INCIDENT,,DESCENT,BOEING,727,200,MEXICANA AIRLINES,SCHEDULED AIR CARRIER,FOREIGN AIR CARRIER,INSTRUMENT FLIGHT RULES,XADUI,0,0,,,,3,UNKNOWN/FOREIGN,,0,0,0
19790108001399I,8-Jan-79,INDIANAPOLIS,IN,INDIANAPOLIS INTL,INCIDENT,,TAKEOFF GROUND ROLL,BOEING,727,UNDESIGNATED SERIES,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR166,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790109001299I,9-Jan-79,MINNEAPOLIS,MN,MINNEAPOLIS INTL,INCIDENT,MINOR,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,727,25C,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8168G,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790110000249I,10-Jan-79,ALBUQUERQUE,NM,ALBUQUERQUE MUNI,INCIDENT,,CLIMB,BOEING,737,291,FRONTIER AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7375F,0,0,,,,2,AIRLINE TRANSPORT,,0,0,0
19790113001829I,13-Jan-79,MIAMI,FL,MIAMI INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8130N,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790113001839I,13-Jan-79,MIAMI,FL,MIAMI INTL,INCIDENT,MINOR,TAKEOFF GROUND ROLL,BOEING,727,25,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,8166G,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790113001959I,13-Jan-79,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,TO ABORTED (FIXED WING),BOEING,727,231,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,54338,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790114002269I,14-Jan-79,AUSTIN,TX,,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,441,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790114002309I,14-Jan-79,TULSA,OK,TULSA INTL,INCIDENT,,CLIMB,BOEING,727,223,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,6825,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790115001779I,15-Jan-79,DETROIT,MI,DETROIT METROPOLITAN WAYNE COUNTY,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,707,UNDESIGNATED SERIES,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR168,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19790115001789I,15-Jan-79,EAST WINDSOR,CT,BRADLEY INTL,INCIDENT,,LEVEL OFF TOUCHDOWN,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,453DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790116002119I,16-Jan-79,KETCHIKAN,AK,KETCHIKAN INTL,INCIDENT,,LEVEL OFF TOUCHDOWN,BOEING,727,200,ALASKA AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,290AS,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790116002149I,16-Jan-79,INDIANAPOLIS,IN,INDIANAPOLIS MUNI,INCIDENT,,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,727,231,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,64339,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790117002369I,17-Jan-79,BANGOR,ME,BANGOR INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,17108,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19790118002609I,18-Jan-79,PITTSBURGH,PA,PITTSBURGH MUNI,INCIDENT,,CLIMB,BOEING,727,22,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7050U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790119002999I,19-Jan-79,DALLAS,TX,MIDLAND INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,493DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790119003029I,19-Jan-79,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,NORMAL CRUISE,BOEING,727,235,NATIONAL AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,4750,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790120002569I,20-Jan-79,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,TO ABORTED (FIXED WING),BOEING,747,UNDESIGNATED SERIES,SCANDINAVIAN AIRLINES SYSTEM,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,LNRNA,0,0,PWA,JT9D7A,JT9,4,AIRLINE TRANSPORT,,0,0,0
19790121002959I,21-Jan-79,BANGOR,ME,BANGOR INTL,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,409DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790121003039I,21-Jan-79,PHILADELPHIA,PA,PHILADELPHIA INTL,INCIDENT,,TO INITIAL CLIMB (1ST POWER REDUCTION),BOEING,727,295,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,1646,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790121003159I,21-Jan-79,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,EASTERN AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR171,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790121003199I,21-Jan-79,HOUSTON,TX,GEORGE BUSH INTERCONTINENTAL/HOUSTON,INCIDENT,,CLIMB,BOEING,727,UNDESIGNATED SERIES,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,414DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790122003349I,22-Jan-79,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,FORCED/PRECAUTIONARY LANDING,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR173,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790123003479I,23-Jan-79,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,OTHER GROUND OPERATIONS,BOEING,707,UNDESIGNATED SERIES,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,6783,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19790123003489I,23-Jan-79,CROSS CITY,FL,,INCIDENT,,NORMAL CRUISE,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,518DA,0,2,,,,3,AIRLINE TRANSPORT,,0,0,0
19790123003549I,23-Jan-79,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,NORMAL CRUISE,BOEING,737,222,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9025U,0,0,PWA,JT8*,JT8,2,AIRLINE TRANSPORT,,0,0,0
19790123003559I,23-Jan-79,TULSA,OK,TULSA INTL,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,223,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,858AA,0,0,,,,3,AIRLINE TRANSPORT,21000,6000,0,0
19790124004129I,24-Jan-79,SAN JUAN,PR,,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9664,0,1,,,,,AIRLINE TRANSPORT,,0,0,0
19790124004169I,24-Jan-79,FORT SMITH,AR,FT SMITH MUNI,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,200,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,408,0,0,,,,3,AIRLINE TRANSPORT,10340,6670,0,0
19790124004179I,24-Jan-79,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,727,232,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,455DA,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790125003419I,25-Jan-79,WASHINGTON,DC,RONALD REAGAN WASHINGTON NATIONAL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,847,0,0,,,,3,AIRLINE TRANSPORT,12500,8300,0,0
19790125003429I,25-Jan-79,MANCHESTER,NH,MANCHESTER MUNI,INCIDENT,,ROLL-OUT (FIXED WING),BOEING,727,UNDESIGNATED SERIES,DELTA AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,466DL,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790125003439I,25-Jan-79,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,,TO ABORTED (FIXED WING),BOEING,737,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9271,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19790126003759I,26-Jan-79,HOUSTON,TX,WILLIAM P HOBBY,INCIDENT,MINOR,OTHER GROUND OPERATIONS,BOEING,737,UNDESIGNATED SERIES,SOUTHWEST AIRLINES CO,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,28SW,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19790127003939I,27-Jan-79,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,,FINAL APPROACH- INSTRUMENT FLIGHT RULES,BOEING,727,UNDESIGNATED SERIES,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,492US,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790127003959I,27-Jan-79,AGANA,GU,AGANA MUNI,INCIDENT,,FINAL APPROACH,BOEING,727,UNDESIGNATED SERIES,,OTHER,AIR CARRIER/COMMERCIAL,NONE,NR174,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790128003139I,28-Jan-79,COLUMBUS,OH,COLUMBUS MUNI,INCIDENT,MINOR,CLIMB,BOEING,707,131B,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,16738,0,0,,,,4,AIRLINE TRANSPORT,,0,0,0
19790128003149I,28-Jan-79,WINDSOR LOCKS,CT,BRADLEY INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,9853,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790129003769I,29-Jan-79,DES MOINES,IA,DES MOINES INTL,INCIDENT,,INITIAL APPROACH-INSTRUMENT FLIGHT RULES,BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,300BN,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790131004249I,31-Jan-79,CLEVELAND,OH,CLEVELAND-HOPKINS INTL,INCIDENT,,"GROUND TAXI, OTHER AIRPLANE",BOEING,727,23,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,1981,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19790131004259I,31-Jan-79,PITTSBURGH,PA,PITTSBURGH INTL,INCIDENT,,IN TRAFFIC PATTERN-CIRCLING,BOEING,727,200,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7256U,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
