"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19911126056889I","26-NOV-91","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","625AW","0","0","IAE","V2500A1","V2500","2","","","","",""
"19911207061619I","07-DEC-91","COVINGTON","OH","CINCINNATI/NORTHERN KENTUCKY INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A310","324","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","819PA","0","0","PWA","PW4152","4152","2","UNKNOWN/FOREIGN","","","",""
"19911218059839I","18-DEC-91","COVINGTON","OH","CINCINNATI/NORTHERN KENTUCKY INTL","INCIDENT","","TO ABORTED (FIXED WING)","AIRBUS","A310","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","803PA","0","0","PWA","JT9*","JT9","2","","","","",""
"19911227060199I","27-DEC-91","COVINGTON","OH","CINCINNATI/NORTHERN KENTUCKY INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A310","324","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","812PA","0","0","","","","2","","","","",""
"19920111009369I","11-JAN-92","PHILADELPHIA","PA","PHILADELPHIA INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","UNDESIGNATED SERIES","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","GYJMS","0","0","","","","2","UNKNOWN/FOREIGN","","","",""
"19920115005359I","15-JAN-92","SEATTLE","WA","SEATTLE-TACOMA INTL","INCIDENT","","TO ABORTED (FIXED WING)","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","313US","0","0","","","","2","","","","",""
"19920222005899I","22-FEB-92","NEW YORK","NY","LA GUARDIA","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","318US","0","2","GE","CFM56*","CFM56","2","AIRLINE TRANSPORT","","","",""
"19920323011219I","23-MAR-92","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","324US","0","0","GE","CFM56*","CFM56","2","AIRLINE TRANSPORT","","","",""
"19920405011209I","05-APR-92","COLUMBUS","OH","PORT COLUMBUS INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","626AW","0","0","","","","2","AIRLINE TRANSPORT","12500","640","176","176"
"19920417019599I","17-APR-92","DENVER","CO","DENVER INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 203","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","13971","0","0","","","","2","AIRLINE TRANSPORT","19000","1800","119","119"
"19920514017519I","14-MAY-92","COLUMBUS","OH","PORT COLUMBUS INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","304RX","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19920725030659I","25-JUL-92","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A320","211","COMPANIA MEXICANA DE AVIACION","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","UNKNOWN","247RX","0","0","","","","2","","","","",""
"19921128050709I","28-NOV-92","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","TO ABORTED (FIXED WING)","AIRBUS","A320","211","COMPANIA MEXICANA DE AVIACION","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","XARJK","0","0","","","","2","AIRLINE TRANSPORT","12500","400","150","158"
"19921202053119I","02-DEC-92","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A310","324","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","812PA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19930216011159I","16-FEB-93","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","34078","0","0","","","","2","AIRLINE TRANSPORT","","652","",""
"19930329008519I","29-MAR-93","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A310","324","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","818PA","0","9","","","","2","AIRLINE TRANSPORT","","","",""
"19930410014249I","10-APR-93","DENVER","CO","DENVER INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A320","231","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","341NW","0","0","","","","2","AIRLINE TRANSPORT","15039","792","149","149"
"19930422014209I","22-APR-93","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","","ROLL-OUT (FIXED WING)","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","327NW","0","0","","","","2","AIRLINE TRANSPORT","10500","1200","210","210"
"19930508019139I","08-MAY-93","NEW ORLEANS","LA","LOUIS ARMSTRONG NEW ORLEANS INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","AIRBUS","A300","B4 103","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","14976","0","0","","","","2","AIRLINE TRANSPORT","17400","1500","225","225"
"19930629024019I","29-JUN-93","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","FINAL APPROACH- INSTRUMENT FLIGHT RULES","AIRBUS","A300","B4 203","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","72988","0","0","","","","2","","","","",""
"19930918043239I","18-SEP-93","","NY","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","70073","0","35","","","","2","AIRLINE TRANSPORT","19600","3200","135","135"
"19931019044379I","19-OCT-93","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","STARTING ENGINES","AIRBUS","A320","231","COMPANIA MEXICANA DE AVIACION","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","431LF","0","0","","","","2","","","","",""
"19931019044859I","19-OCT-93","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","41063","0","0","GE","CF6*","CF6","2","AIRLINE TRANSPORT","","1784","160","160"
"19931205051789I","05-DEC-93","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","UNDESIGNATED SERIES","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","NR925","0","0","","","","2","","","","",""
"19931229051539I","29-DEC-93","WASHINGTON","DC","WASHINGTON DULLES INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","UNDESIGNATED SERIES","AIR FRANCE","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","FGNIB","0","0","","","","2","","","","",""
"19940227007009I","27-FEB-94","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","310NW","0","0","","","","2","AIRLINE TRANSPORT","14275","777","147",""
"19940315000569I","15-MAR-94","ALBUQUERQUE","NM","ALBUQUERQUE INTL SUNPORT","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","635AW","0","0","","","","2","AIRLINE TRANSPORT","","","159","159"
"19940321008889I","21-MAR-94","DALLAS-FORT WORTH","TX","DALLAS/FORT WORTH INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","637AW","0","0","","","","2","AIRLINE TRANSPORT","","","86","86"
"19940411012399I","11-APR-94","BUFFALO","NY","BUFFALO NIAGARA INTL","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","319US","0","0","","","","2","AIRLINE TRANSPORT","11000","2500","180","180"
"19940503016379I","03-MAY-94","ACAPULCO","","","INCIDENT","MINOR","FINAL APPROACH- INSTRUMENT FLIGHT RULES","AIRBUS","A320","231","COMPANIA MEXICANA DE AVIACION","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","431LF","0","0","","","","2","","","","",""
"19940725031389I","25-JUL-94","NASHVILLE","TN","NASHVILLE INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","UNDESIGNATED SERIES","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","UNKNO","0","3","","","","2","AIRLINE TRANSPORT","","","",""
"19940801030279I","01-AUG-94","WICHITA","KS","WICHITA MID-CONTINENT","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","620AW","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19941128043499I","28-NOV-94","SAN JUAN","PR","","INCIDENT","MINOR","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","14053","0","47","","","","2","AIRLINE TRANSPORT","","","",""
"19950402009499I","02-APR-95","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","","FINAL APPROACH","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","NONE","25071","0","0","","","","2","","","","",""
"19950409015659I","09-APR-95","NEW ORLEANS","LA","LOUIS ARMSTRONG NEW ORLEANS INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","232","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","405UA","0","0","","","","2","AIRLINE TRANSPORT","14012","352","177","177"
"19950525015489I","25-MAY-95","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","","CLIMB","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","318US","0","0","","","","2","","","","",""
"19950719031639I","19-JUL-95","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","90070","0","5","","","","2","AIRLINE TRANSPORT","4486","1486","",""
"19950802046309I","02-AUG-95","ELYRIA","OH","","INCIDENT","","CLIMB","AIRBUS","A320","211","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","CFPDN","0","0","","","","2","","11543","2102","186",""
"19950823032249I","23-AUG-95","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","301US","0","0","","","","2","","9631","","240",""
"19951005038469I","05-OCT-95","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A310","UNDESIGNATED SERIES","AUSTRIAN AIRLINES","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","OELAD","0","0","","","","","","","","",""
"19951026039349I","26-OCT-95","EASTON","PA","","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","UR021","0","0","","","","2","","","","",""
"19951128043019I","28-NOV-95","PORTLAND","OR","PORTLAND INTL","INCIDENT","","OTHER GROUND OPERATIONS","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","323US","0","0","","","","2","AIRLINE TRANSPORT","25091","","",""
"19951216043759I","16-DEC-95","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A300","B4 203","PAN AMERICAN AIRWAYS","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","226KW","0","0","GE","CF650*","CF6","2","AIRLINE TRANSPORT","","","",""
"19960124002809I","24-JAN-96","PHILADELPHIA","PA","PHILADELPHIA INTL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","59081","0","0","GE","CF680C2*","CF6","2","AIRLINE TRANSPORT","","2373","",""
"19960318021119I","18-MAR-96","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","340NW","0","0","","","","2","","","","",""
"19960712045359I","12-JUL-96","MIAMI","FL","MIAMI INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","UNDESIGNATED SERIES","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8067A","0","0","","","","","AIRLINE TRANSPORT","7900","3000","125","125"
"19960930036629I","30-SEP-96","RALEIGH","NC","RALEIGH-DURHAM INTL","INCIDENT","MINOR","NORMAL CRUISE","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","80084","0","0","","","","2","AIRLINE TRANSPORT","","","","55"
"19961003038219I","03-OCT-96","NEW YORK","NY","LA GUARDIA","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","306US","0","0","CFMINT","CFM565A1","CFM56","2","AIRLINE TRANSPORT","8172","384","140",""
"19961124042649I","24-NOV-96","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","","LEVEL OFF TOUCHDOWN","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","310NW","0","0","","","","2","AIRLINE TRANSPORT","5241","2883","221",""
"19970216007299I","16-FEB-97","CHARLESTON","SC","","INCIDENT","MINOR","NORMAL CRUISE","AIRBUS","A300","B4 203","PAN AMERICAN WORLD AIRWAYS INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","860PA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19970301004129I","01-MAR-97","","","","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","211","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","CGVXE","0","0","","","","2","","","","",""
"19970619028009I","19-JUN-97","DENVER","CO","DENVER INTL","INCIDENT","MINOR","CLIMB","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","305US","0","0","CFMINT","CFM565A1","CFM56","2","AIRLINE TRANSPORT","10731","274","101",""
"19970819033199I","19-AUG-97","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","629AW","0","0","","","","2","AIRLINE TRANSPORT","11799","2830","120","120"
"19970821030219I","21-AUG-97","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","","TO ABORTED (FIXED WING)","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","318US","0","0","GE","CFM565A","CFM56","2","AIRLINE TRANSPORT","10252","660","185",""
"19970824029849I","24-AUG-97","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","AIRBUS","A300","B4 203","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","862PA","0","0","GE","CF650*","CF6","2","AIRLINE TRANSPORT","","","",""
"19970911036569I","11-SEP-97","MIAMI","FL","MIAMI INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 203","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","864PA","0","0","","","","2","","","","",""
"19971118038769I","18-NOV-97","SYRACUSE","NY","SYRACUSE HANCOCK INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","232","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","409UA","0","0","","","","2","","","","",""
"19971202042049I","02-DEC-97","INDIANAPOLIS","IN","INDIANAPOLIS INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","F4 605R","FEDERAL EXPRESS CORP","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","659FE","0","0","","","","2","","","","",""
"19971215043949I","15-DEC-97","MONTEGO BAY","","SANGSTER INTERNATIONAL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","90070","0","0","GE","CF680C2A5","CF6","2","AIRLINE TRANSPORT","","","",""
"19980110045809I","10-JAN-98","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","AIRBUS","A320","233","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","981LR","0","0","","","","2","","","","",""
"19980608027359I","08-JUN-98","NASHVILLE","TN","NASHVILLE INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","232","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","443UA","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","12250","1800","142",""
"19980701024669I","01-JUL-98","BOISE","ID","BOISE AIR TERMINAL/GOWEN FLD","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A310","203","FEDERAL EXPRESS CORP","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","430FE","0","0","","","","2","AIRLINE TRANSPORT","","1200","",""
"19980709037259I","09-JUL-98","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","CLIMB","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","80057","0","5","GE","CF680C2A5","CF6","2","AIRLINE TRANSPORT","","3705","",""
"19980716027799I","16-JUL-98","MIAMI","FL","MIAMI INTL","INCIDENT","SUBSTANTIAL","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","UNDESIGNATED SERIES","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","3075A","0","0","GE","CF680C2A5","CF6","2","AIRLINE TRANSPORT","","","",""
"19980930039389I","30-SEP-98","ONTARIO","CA","ONTARIO INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","AIRBUS","A320","232","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","451UA","0","0","","","","2","","","","",""
"19981016045749I","16-OCT-98","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","233","TRANSPORTES AEREOS SAN JORGE","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","UNKNO","0","0","","","","2","","","","",""
"19981213039779I","13-DEC-98","KANSAS CITY","MO","KANSAS CITY INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","231","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","637AW","0","0","","","","2","","","","",""
"19981223042299I","23-DEC-98","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","","TO ABORTED (FIXED WING)","AIRBUS","A300","F4 605R","FEDERAL EXPRESS CORP","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","663FE","0","0","GE","CF680C","CF6","2","","","","",""
"19981231043239I","31-DEC-98","NEW YORK","NY","JOHN F KENNEDY INTL","INCIDENT","","CLIMB","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7076A","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","13500","","",""
"19990125008719I","25-JAN-99","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","","FORCED/PRECAUTIONARY LANDING","AIRBUS","A320","231","RYAN INTERNATIONAL AIRLINES","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","GCVYE","0","0","","","","2","","","","",""
"19990209020869I","09-FEB-99","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A320","233","TRANSPORTES AEREOS SAN JORGE","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","UNKNO","0","0","","","","2","","","","",""
"19990216021179I","16-FEB-99","COLUMBUS","OH","PORT COLUMBUS INTL","INCIDENT","MINOR","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","AIRBUS","A320","UNDESIGNATED SERIES","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","628AW","0","0","","","","2","AIRLINE TRANSPORT","10850","1100","141",""
"19990324019899I","24-MAR-99","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","SUBSTANTIAL","FORCED/PRECAUTIONARY LANDING","AIRBUS","A320","232","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","426UA","0","0","IAE","V2527A5","V2527","2","","","","",""
"19990416019809I","16-APR-99","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","AIRBUS","A320","UNDESIGNATED SERIES","AMERICA WEST AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","621AW","0","0","","","","2","AIRLINE TRANSPORT","16500","1150","165",""
"19990511016029I","11-MAY-99","MIAMI","FL","","INCIDENT","","FINAL APPROACH- INSTRUMENT FLIGHT RULES","AIRBUS","A300","B4 605R","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7082A","0","0","","","","2","","","","",""
"19990704041629I","04-JUL-99","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A320","211","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","306US","0","0","","","","2","","","","",""
